Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
21	:	1761076959.696	     0.596	0	1240	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-35-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-35-00000.npy
24	:	1761076959.996	     0.338	0	2153	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-25-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-25-00000.npy
22	:	1761076959.793	     0.805	0	2153	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-09-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-09-00000.npy
25	:	1761076960.101	     0.534	0	5117	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-33-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-33-00000.npy
28	:	1761076960.205	     0.476	0	2077	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-11-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-11-00000.npy
26	:	1761076960.105	     0.654	0	5116	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-04-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-04-00000.npy
29	:	1761076960.223	     0.585	0	709	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-07-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-07-00000.npy
27	:	1761076960.191	     0.620	0	5268	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-10-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-10-00000.npy
31	:	1761076960.338	     0.635	0	2152	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-30-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-30-00000.npy
30	:	1761076960.297	     0.732	0	709	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-21-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-21-00000.npy
35	:	1761076960.764	     0.328	0	101	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-14-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-14-00000.npy
32	:	1761076960.602	     0.543	0	2077	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-20-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-20-00000.npy
33	:	1761076960.640	     0.533	0	177	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-06-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-06-00000.npy
37	:	1761076960.815	     0.358	0	102	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-13-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-13-00000.npy
34	:	1761076960.684	     0.552	0	1393	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-18-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-18-00000.npy
39	:	1761076961.033	     0.381	0	1393	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-02-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-02-00000.npy
40	:	1761076961.095	     0.353	0	329	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-26-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-26-00000.npy
38	:	1761076960.978	     0.525	0	557	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-34-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-34-00000.npy
42	:	1761076961.180	     0.418	0	633	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-00-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-00-00000.npy
43	:	1761076961.183	     0.419	0	557	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-29-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-29-00000.npy
36	:	1761076960.811	     0.804	0	5268	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-03-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-03-00000.npy
44	:	1761076961.239	     0.457	0	557	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-24-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-24-00000.npy
41	:	1761076961.150	     0.656	0	1165	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-32-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-32-00000.npy
45	:	1761076961.418	     0.605	0	5269	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-31-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-31-00000.npy
48	:	1761076961.603	     0.425	0	98	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-19-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-19-00000.npy
46	:	1761076961.452	     0.591	0	1165	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-23-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-23-00000.npy
47	:	1761076961.507	     0.612	0	1165	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-22-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-22-00000.npy
50	:	1761076961.619	     0.505	0	557	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-08-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-08-00000.npy
55	:	1761076962.046	     0.305	0	937	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-36-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-36-00000.npy
51	:	1761076961.700	     0.694	0	557	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-16-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-16-00000.npy
54	:	1761076962.031	     0.405	0	1165	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-59-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-59-00000.npy
52	:	1761076961.810	     0.636	0	6483	0	0	download_file 'http://olmo-data.org/preprocessed/gsm8k-synth/resample_v1_6x/dolma2-tokenizer/part-0-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm8k-synth/resample_v1_6x/dolma2-tokenizer/part-0-00000.npy
49	:	1761076961.615	     0.845	0	1164	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-28-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-28-00000.npy
57	:	1761076962.127	     0.431	0	861	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-16-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-16-00000.npy
53	:	1761076962.027	     0.617	0	1012	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-41-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-41-00000.npy
56	:	1761076962.124	     0.562	0	861	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-18-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-18-00000.npy
60	:	1761076962.440	     0.345	0	2229	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-46-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-46-00000.npy
59	:	1761076962.399	     0.496	0	1013	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-22-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-22-00000.npy
61	:	1761076962.449	     0.453	0	1165	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-50-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-50-00000.npy
62	:	1761076962.463	     0.463	0	1089	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-86-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-86-00000.npy
58	:	1761076962.356	     0.608	0	936	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-20-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-20-00000.npy
64	:	1761076962.649	     0.446	0	861	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-39-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-39-00000.npy
65	:	1761076962.689	     0.432	0	1925	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-81-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-81-00000.npy
63	:	1761076962.563	     0.582	0	1164	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-07-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-07-00000.npy
66	:	1761076962.788	     0.406	0	1165	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-21-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-21-00000.npy
68	:	1761076962.905	     0.391	0	1089	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-75-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-75-00000.npy
67	:	1761076962.898	     0.424	0	785	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-11-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-11-00000.npy
70	:	1761076962.968	     0.381	0	861	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-91-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-91-00000.npy
69	:	1761076962.929	     0.622	0	1165	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-72-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-72-00000.npy
74	:	1761076963.199	     0.376	0	1089	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-83-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-83-00000.npy
71	:	1761076963.099	     0.479	0	1849	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-31-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-31-00000.npy
